x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.0000146E+00,+78.1407E-03,-29.7739E-03,-45.2513E-03,-5.9121E-03
-999.8896E-03,+66.8342E-03,-20.9799E-03,-43.9950E-03,-7.9221E-03
-999.7646E-03,+57.7889E-03,-12.1859E-03,-43.9950E-03,-5.4095E-03
-999.6396E-03,+67.2111E-03,-14.6985E-03,-43.9950E-03,-7.9221E-03
-999.5146E-03,+58.7940E-03,-7.2864E-03,-42.7387E-03,-7.4196E-03
-999.3896E-03,+57.2864E-03,-2.2613E-03,-42.7387E-03,-5.4095E-03
-999.2646E-03,+57.9146E-03,+1.8844E-03,-43.9950E-03,-8.4246E-03
-999.1396E-03,+55.0251E-03,+5.0251E-03,-43.9950E-03,-5.9121E-03
-999.0146E-03,+52.1357E-03,+6.5327E-03,-43.9950E-03,-5.4095E-03
-998.8896E-03,+51.3819E-03,+11.5578E-03,-43.9950E-03,-7.4196E-03
-998.7646E-03,+51.3819E-03,+15.9548E-03,-43.9950E-03,-5.1583E-03
-998.6396E-03,+44.9749E-03,+14.1960E-03,-43.9950E-03,-7.6709E-03
-998.5146E-03,+47.8643E-03,+21.4824E-03,-45.2513E-03,-8.1734E-03
-998.3896E-03,+44.3467E-03,+23.2412E-03,-42.7387E-03,-5.1583E-03
-998.2646E-03,+38.9447E-03,+24.4975E-03,-45.2513E-03,-7.6709E-03
-998.1396E-03,+45.6030E-03,+34.1709E-03,-43.9950E-03,-5.9121E-03
-998.0146E-03,+33.1658E-03,+27.7638E-03,-43.9950E-03,-5.9121E-03
-997.8896E-03,+34.2965E-03,+35.3015E-03,-45.2513E-03,-7.1683E-03
-997.7646E-03,+35.9296E-03,+42.8392E-03,-42.7387E-03,-5.1583E-03
-997.6396E-03,+21.7337E-03,+34.6734E-03,-43.9950E-03,-6.9171E-03
-997.5146E-03,+29.0201E-03,+46.8593E-03,-45.2513E-03,-6.4146E-03
-997.3896E-03,+21.4824E-03,+45.8543E-03,-42.7387E-03,-5.1583E-03
-997.2646E-03,+12.6884E-03,+44.3467E-03,-45.2513E-03,-7.9221E-03
-997.1396E-03,+20.9799E-03,+55.6533E-03,-43.9950E-03,-5.4095E-03
-997.0146E-03,+8.9196E-03,+49.4975E-03,-42.7387E-03,-5.6608E-03
-996.8896E-03,+8.4171E-03,+54.6482E-03,-45.2513E-03,-7.6709E-03
-996.7646E-03,+7.6633E-03,+60.1759E-03,-42.7387E-03,-5.1583E-03
-996.6396E-03,-2.8894E-03,+54.0201E-03,-42.7387E-03,-6.6658E-03
-996.5146E-03,+2.2613E-03,+62.8141E-03,-43.9950E-03,-7.1683E-03
-996.3896E-03,-4.6482E-03,+62.4372E-03,-43.9950E-03,-6.1633E-03
-996.2646E-03,-12.4372E-03,+61.5578E-03,-43.9950E-03,-8.6759E-03
-996.1396E-03,-11.0553E-03,+66.5829E-03,-42.7387E-03,-5.6608E-03
-996.0146E-03,-15.7035E-03,+65.7035E-03,-42.7387E-03,-5.6608E-03
-995.8896E-03,-19.3467E-03,+65.7035E-03,-43.9950E-03,-7.4196E-03
-995.7646E-03,-23.7437E-03,+68.5930E-03,-43.9950E-03,-5.4095E-03
-995.6396E-03,-26.1307E-03,+70.2261E-03,-43.9950E-03,-6.6658E-03
-995.5146E-03,-25.8794E-03,+65.3266E-03,-43.9950E-03,-6.4146E-03
-995.3896E-03,-32.1608E-03,+70.6030E-03,-43.9950E-03,-5.6608E-03
-995.2646E-03,-38.8191E-03,+76.1307E-03,-43.9950E-03,-8.6759E-03
-995.1396E-03,-34.7990E-03,+64.4472E-03,-43.9950E-03,-5.9121E-03
-995.0146E-03,-43.2161E-03,+76.7588E-03,-43.9950E-03,-6.1633E-03
-994.8896E-03,-45.2261E-03,+73.2412E-03,-45.2513E-03,-8.9271E-03
-994.7646E-03,-45.4774E-03,+67.0854E-03,-45.2513E-03,-5.1583E-03
-994.6396E-03,-56.1558E-03,+83.4171E-03,-43.9950E-03,-7.9221E-03
-994.5146E-03,-49.8744E-03,+63.8191E-03,-43.9950E-03,-7.1683E-03
-994.3896E-03,-55.5276E-03,+71.8593E-03,-45.2513E-03,-5.6608E-03
-994.2646E-03,-62.6884E-03,+80.2764E-03,-43.9950E-03,-9.4296E-03
-994.1396E-03,-55.2764E-03,+59.5477E-03,-43.9950E-03,-5.6608E-03
-994.0146E-03,-67.7136E-03,+78.1407E-03,-43.9950E-03,-6.1633E-03
-993.8896E-03,-67.5879E-03,+70.8543E-03,-43.9950E-03,-8.4246E-03
-993.7646E-03,-65.3266E-03,+60.3015E-03,-43.9950E-03,-4.6558E-03
-993.6396E-03,-76.6332E-03,+79.2714E-03,-43.9950E-03,-8.1734E-03
-993.5146E-03,-71.8593E-03,+62.8141E-03,-43.9950E-03,-7.4196E-03
-993.3896E-03,-75.3769E-03,+66.2060E-03,-43.9950E-03,-4.6558E-03
-993.2646E-03,-80.6533E-03,+70.4774E-03,-45.2513E-03,-9.1784E-03
-993.1396E-03,-77.3869E-03,+57.0352E-03,-45.2513E-03,-6.6658E-03
-993.0146E-03,-83.5427E-03,+65.8291E-03,-45.2513E-03,-6.6658E-03
-992.8896E-03,-83.4171E-03,+60.8040E-03,-45.2513E-03,-7.9221E-03
-992.7646E-03,-84.2965E-03,+55.0251E-03,-43.9950E-03,-4.1533E-03
-992.6396E-03,-87.3116E-03,+57.9146E-03,-43.9950E-03,-8.1734E-03
-992.5146E-03,-88.0653E-03,+55.5276E-03,-43.9950E-03,-8.1734E-03
-992.3896E-03,-87.9397E-03,+52.6382E-03,-43.9950E-03,-5.1583E-03
-992.2646E-03,-89.3216E-03,+50.7538E-03,-43.9950E-03,-7.9221E-03
-992.1396E-03,-95.3518E-03,+51.8844E-03,-43.9950E-03,-6.6658E-03
-992.0146E-03,-87.5628E-03,+44.9749E-03,-43.9950E-03,-6.1633E-03
-991.8896E-03,-93.4673E-03,+44.0955E-03,-43.9950E-03,-7.9221E-03
-991.7646E-03,-100.8794E-03,+45.2261E-03,-43.9950E-03,-4.1533E-03
-991.6396E-03,-87.3116E-03,+35.0503E-03,-43.9950E-03,-7.9221E-03
-991.5146E-03,-100.7538E-03,+40.0754E-03,-43.9950E-03,-7.4196E-03
-991.3896E-03,-95.7286E-03,+35.1759E-03,-45.2513E-03,-3.3995E-03
-991.2646E-03,-89.0704E-03,+27.7638E-03,-42.7387E-03,-8.4246E-03
-991.1396E-03,-106.7839E-03,+34.2965E-03,-43.9950E-03,-5.1583E-03
-991.0146E-03,-87.1859E-03,+21.7337E-03,-45.2513E-03,-5.9121E-03
-990.8896E-03,-93.9698E-03,+22.6131E-03,-42.7387E-03,-7.9221E-03
-990.7646E-03,-102.0100E-03,+23.8693E-03,-45.2513E-03,-4.4045E-03
-990.6396E-03,-81.9095E-03,+9.9246E-03,-43.9950E-03,-7.9221E-03
-990.5146E-03,-99.3719E-03,+16.7085E-03,-43.9950E-03,-6.9171E-03
-990.3896E-03,-92.0854E-03,+10.5528E-03,-45.2513E-03,-5.4095E-03
-990.2646E-03,-82.1608E-03,+2.7638E-03,-43.9950E-03,-8.9271E-03
-990.1396E-03,-98.6181E-03,+8.9196E-03,-43.9950E-03,-5.4095E-03
-990.0146E-03,-84.7990E-03,-1.1307E-03,-45.2513E-03,-5.6608E-03
-989.8896E-03,-86.5578E-03,-3.2663E-03,-42.7387E-03,-7.9221E-03
-989.7646E-03,-89.9497E-03,-4.2714E-03,-42.7387E-03,-3.9020E-03
-989.6396E-03,-80.0251E-03,-13.0653E-03,-43.9950E-03,-5.6608E-03
-989.5146E-03,-86.0553E-03,-12.1859E-03,-43.9950E-03,-6.1633E-03
-989.3896E-03,-82.1608E-03,-17.0854E-03,-43.9950E-03,-4.9070E-03
-989.2646E-03,-78.1407E-03,-23.2412E-03,-45.2513E-03,-8.1734E-03
-989.1396E-03,-78.2663E-03,-24.3719E-03,-43.9950E-03,-6.1633E-03
-989.0146E-03,-77.3869E-03,-27.2613E-03,-43.9950E-03,-5.9121E-03
-988.8896E-03,-73.4925E-03,-30.1508E-03,-43.9950E-03,-7.6709E-03
-988.7646E-03,-70.7286E-03,-33.7940E-03,-43.9950E-03,-4.9070E-03
-988.6396E-03,-73.4925E-03,-39.9497E-03,-43.9950E-03,-7.1683E-03
-988.5146E-03,-65.3266E-03,-36.8090E-03,-43.9950E-03,-7.1683E-03
-988.3896E-03,-66.4573E-03,-43.5930E-03,-42.7387E-03,-5.4095E-03
-988.2646E-03,-67.4623E-03,-51.1307E-03,-43.9950E-03,-7.4196E-03
-988.1396E-03,-56.0302E-03,-45.7286E-03,-43.9950E-03,-5.9121E-03
-988.0146E-03,-62.0603E-03,-56.0302E-03,-42.7387E-03,-5.4095E-03
-987.8896E-03,-56.1558E-03,-56.4070E-03,-45.2513E-03,-7.9221E-03
-987.7646E-03,-48.7437E-03,-55.2764E-03,-43.9950E-03,-5.1583E-03
-987.6396E-03,-56.0302E-03,-66.9598E-03,-43.9950E-03,-7.1683E-03
-987.5146E-03,-42.0854E-03,-59.9246E-03,-45.2513E-03,-6.6658E-03
-987.3896E-03,-43.3417E-03,-67.3367E-03,-42.7387E-03,-5.4095E-03
-987.2646E-03,-44.8492E-03,-73.1156E-03,-45.2513E-03,-7.6709E-03
-987.1396E-03,-30.7789E-03,-65.4523E-03,-43.9950E-03,-4.6558E-03
-987.0146E-03,-38.4422E-03,-77.3869E-03,-42.7387E-03,-5.9121E-03
-986.8896E-03,-31.1558E-03,-76.2563E-03,-45.2513E-03,-6.9171E-03
-986.7646E-03,-22.4874E-03,-73.3668E-03,-43.9950E-03,-5.1583E-03
-986.6396E-03,-28.6432E-03,-83.5427E-03,-43.9950E-03,-7.4196E-03
-986.5146E-03,-18.3417E-03,-79.1457E-03,-45.2513E-03,-6.9171E-03
-986.3896E-03,-15.2010E-03,-82.9146E-03,-43.9950E-03,-5.1583E-03
-986.2646E-03,-12.5628E-03,-87.1859E-03,-43.9950E-03,-7.1683E-03
-986.1396E-03,-5.5276E-03,-85.1759E-03,-43.9950E-03,-5.6608E-03
-986.0146E-03,-4.5226E-03,-88.5678E-03,-43.9950E-03,-5.6608E-03
-985.8896E-03,-1.2563E-03,-89.6985E-03,-43.9950E-03,-6.9171E-03
-985.7646E-03,+3.7688E-03,-90.3266E-03,-45.2513E-03,-3.9020E-03
-985.6396E-03,+4.3970E-03,-88.9447E-03,-45.2513E-03,-6.9171E-03
-985.5146E-03,+9.0452E-03,-93.5930E-03,-45.2513E-03,-6.4146E-03
-985.3896E-03,+12.3116E-03,-91.9598E-03,-45.2513E-03,-3.9020E-03
-985.2646E-03,+15.4523E-03,-91.2060E-03,-45.2513E-03,-7.9221E-03
-985.1396E-03,+21.9849E-03,-102.3869E-03,-43.9950E-03,-5.4095E-03
-985.0146E-03,+18.4673E-03,-89.9497E-03,-43.9950E-03,-5.9121E-03
