x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-2.5000000E+00,-61.0474E-03,+85.9375E-03,-1.7054E-03,-2.2360238E+00
-2.4996875E+00,-59.0374E-03,+85.9375E-03,-1.9064E-03,-2.1656721E+00
-2.4993750E+00,-56.0223E-03,+87.4293E-03,-1.9127E-03,-2.0953203E+00
-2.4990625E+00,-56.0223E-03,+86.9268E-03,-2.4089E-03,-2.0852701E+00
-2.4987500E+00,-54.5148E-03,+86.6913E-03,-1.7117E-03,-2.0500942E+00
-2.4984375E+00,-54.5148E-03,+86.9425E-03,-1.8122E-03,-2.0098932E+00
-2.4981250E+00,-52.2535E-03,+88.1831E-03,-1.9064E-03,-1.9345163E+00
-2.4978125E+00,-51.2484E-03,+87.1938E-03,-1.6049E-03,-1.9046796E+00
-2.4975000E+00,-51.2484E-03,+87.9475E-03,-1.3097E-03,-1.9244661E+00
-2.4971875E+00,-49.2384E-03,+88.4501E-03,-2.1137E-03,-1.8490892E+00
-2.4968750E+00,-46.9771E-03,+88.7013E-03,-2.2079E-03,-1.7690012E+00
-2.4965625E+00,-46.7258E-03,+89.1881E-03,-1.7054E-03,-1.7787374E+00
-2.4962500E+00,-45.7208E-03,+87.6963E-03,-1.4102E-03,-1.7385364E+00
-2.4959375E+00,-44.4645E-03,+88.1988E-03,-1.8059E-03,-1.6882852E+00
-2.4956250E+00,-41.1982E-03,+88.4344E-03,-1.6049E-03,-1.6078831E+00
-2.4953125E+00,-39.9576E-03,+87.6806E-03,-1.6112E-03,-1.5629711E+00
-2.4950000E+00,-40.6957E-03,+87.4450E-03,-1.7117E-03,-1.5727073E+00
-2.4946875E+00,-38.1831E-03,+88.1831E-03,-2.1074E-03,-1.4822550E+00
-2.4943750E+00,-34.9168E-03,+87.1781E-03,-1.8122E-03,-1.3820666E+00
-2.4940625E+00,-34.9168E-03,+86.9268E-03,-2.1074E-03,-1.3867776E+00
-2.4937500E+00,-33.4092E-03,+85.9218E-03,-2.0132E-03,-1.3365264E+00
-2.4934375E+00,-32.4042E-03,+85.6862E-03,-2.1074E-03,-1.2762249E+00
-2.4931250E+00,-28.6354E-03,+86.1731E-03,-1.7054E-03,-1.1757223E+00
-2.4928125E+00,-27.1435E-03,+85.1837E-03,-1.3097E-03,-1.1257852E+00
-2.4925000E+00,-27.6303E-03,+85.4193E-03,-1.6112E-03,-1.1355213E+00
-2.4921875E+00,-25.3690E-03,+84.4143E-03,-1.8122E-03,-1.0400440E+00
-2.4918750E+00,-21.6002E-03,+83.4249E-03,-1.9064E-03,-919.7550E-03
-2.4915625E+00,-21.6002E-03,+84.4143E-03,-1.8059E-03,-924.4661E-03
-2.4912500E+00,-20.5952E-03,+82.9224E-03,-1.6112E-03,-884.2651E-03
-2.4909375E+00,-18.8364E-03,+82.9224E-03,-1.7054E-03,-818.9384E-03
-2.4906250E+00,-16.0726E-03,+82.9067E-03,-1.4039E-03,-723.4610E-03
-2.4903125E+00,-14.5807E-03,+81.6661E-03,-1.3034E-03,-678.5490E-03
-2.4900000E+00,-15.0675E-03,+81.9017E-03,-1.1087E-03,-698.3354E-03
-2.4896875E+00,-13.3087E-03,+80.6454E-03,-1.9064E-03,-602.8580E-03
-2.4893750E+00,-9.2886E-03,+79.8916E-03,-1.8059E-03,-482.5691E-03
-2.4890625E+00,-9.2886E-03,+79.3891E-03,-1.3097E-03,-487.2801E-03
-2.4887500E+00,-7.7811E-03,+78.6354E-03,-1.5107E-03,-442.0540E-03
-2.4884375E+00,-6.0223E-03,+78.1329E-03,-1.8059E-03,-371.7023E-03
-2.4881250E+00,-3.2585E-03,+76.6253E-03,-1.8059E-03,-271.1997E-03
-2.4878125E+00,-2.5047E-03,+76.1228E-03,-1.6112E-03,-231.3128E-03
-2.4875000E+00,-2.5047E-03,+75.3690E-03,-1.7054E-03,-236.0239E-03
-2.4871875E+00,+7.9E-06,+74.6153E-03,-1.6049E-03,-145.5716E-03
-2.4868750E+00,+3.2742E-03,+72.8722E-03,-1.5044E-03,-29.9937E-03
-2.4865625E+00,+3.7767E-03,+73.1077E-03,-1.4102E-03,-29.9937E-03
-2.4862500E+00,+4.7817E-03,+72.1027E-03,-1.8122E-03,+10.2073E-03
-2.4859375E+00,+6.5405E-03,+70.3439E-03,-2.2079E-03,+85.5842E-03
-2.4856250E+00,+10.3094E-03,+68.8364E-03,-2.0069E-03,+211.2123E-03
-2.4853125E+00,+11.3144E-03,+68.3339E-03,-1.9127E-03,+246.3882E-03
-2.4850000E+00,+11.8169E-03,+67.5801E-03,-2.1074E-03,+251.4133E-03
-2.4846875E+00,+13.8269E-03,+66.5751E-03,-1.9127E-03,+341.8656E-03
-2.4843750E+00,+17.3445E-03,+65.0675E-03,-2.1074E-03,+462.4686E-03
-2.4840625E+00,+18.0826E-03,+64.0625E-03,-2.0069E-03,+467.4937E-03
-2.4837500E+00,+17.8470E-03,+63.3087E-03,-1.6112E-03,+487.5942E-03
-2.4834375E+00,+19.6058E-03,+61.8012E-03,-1.8059E-03,+567.9962E-03
-2.4831250E+00,+23.3747E-03,+59.5399E-03,-1.7117E-03,+683.5741E-03
-2.4828125E+00,+23.6259E-03,+59.0374E-03,-2.0069E-03,+708.6997E-03
-2.4825000E+00,+24.1285E-03,+58.0323E-03,-1.7054E-03,+713.7249E-03
-2.4821875E+00,+26.3898E-03,+57.2786E-03,-1.7054E-03,+804.1771E-03
-2.4818750E+00,+29.9073E-03,+54.7660E-03,-1.7054E-03,+929.8053E-03
-2.4815625E+00,+30.1586E-03,+53.5097E-03,-1.5107E-03,+934.8304E-03
-2.4812500E+00,+30.4099E-03,+53.2585E-03,-1.6112E-03,+959.9560E-03
-2.4809375E+00,+32.4199E-03,+51.2484E-03,-2.0132E-03,+1.0353329E+00
-2.4806250E+00,+35.6862E-03,+49.0028E-03,-2.3084E-03,+1.1458857E+00
-2.4803125E+00,+36.6913E-03,+49.4896E-03,-1.6049E-03,+1.1706972E+00
-2.4800000E+00,+36.9425E-03,+47.9821E-03,-1.6049E-03,+1.1609610E+00
-2.4796875E+00,+37.9475E-03,+46.4746E-03,-1.5107E-03,+1.2514133E+00
-2.4793750E+00,+41.7164E-03,+43.7107E-03,-1.6112E-03,+1.3616520E+00
-2.4790625E+00,+41.9677E-03,+42.4702E-03,-1.7054E-03,+1.3569409E+00
-2.4787500E+00,+41.9677E-03,+42.4545E-03,-1.5107E-03,+1.3870917E+00
-2.4784375E+00,+44.4802E-03,+40.4444E-03,-1.9064E-03,+1.4524183E+00
-2.4781250E+00,+46.7415E-03,+36.6913E-03,-1.7054E-03,+1.5478957E+00
-2.4778125E+00,+47.4796E-03,+37.1781E-03,-1.5107E-03,+1.5727073E+00
-2.4775000E+00,+46.7415E-03,+35.4193E-03,-1.8122E-03,+1.5529208E+00
-2.4771875E+00,+48.2491E-03,+32.9067E-03,-2.0069E-03,+1.6383480E+00
-2.4768750E+00,+51.2641E-03,+31.1479E-03,-1.6049E-03,+1.7435615E+00
-2.4765625E+00,+51.7666E-03,+28.6511E-03,-1.5044E-03,+1.7288002E+00
-2.4762500E+00,+51.7666E-03,+29.3891E-03,-1.5044E-03,+1.7639761E+00
-2.4759375E+00,+53.5254E-03,+27.1278E-03,-1.5107E-03,+1.8242776E+00
