x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.000015E+00,+1.501131E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.915E-03,+1.494598E+00,+1.392588E+00,+2.884322E+00,+3.216331E+00
-999.815E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.715E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.615E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.515E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.415E-03,+1.495101E+00,+1.392588E+00,+2.889347E+00,+3.216331E+00
-999.315E-03,+1.502136E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-999.215E-03,+1.496608E+00,+1.357412E+00,+2.869246E+00,+3.261558E+00
-999.115E-03,+1.497613E+00,+1.342337E+00,+2.859196E+00,+3.216331E+00
-999.015E-03,+1.499121E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-998.915E-03,+1.490578E+00,+1.402638E+00,+2.839095E+00,+3.211306E+00
-998.815E-03,+1.489573E+00,+1.392588E+00,+2.909447E+00,+3.216331E+00
-998.715E-03,+1.496106E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
-998.615E-03,+1.491583E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-998.515E-03,+1.496106E+00,+1.407663E+00,+2.914472E+00,+3.216331E+00
-998.415E-03,+1.485050E+00,+1.392588E+00,+2.914472E+00,+3.181156E+00
-998.315E-03,+1.492085E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-998.215E-03,+1.503643E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-998.115E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.145980E+00
-998.015E-03,+1.504146E+00,+1.472990E+00,+2.834070E+00,+3.221357E+00
-997.915E-03,+1.496106E+00,+1.472990E+00,+2.899397E+00,+3.216331E+00
-997.815E-03,+1.503141E+00,+1.372487E+00,+2.914472E+00,+3.216331E+00
-997.715E-03,+1.490578E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-997.615E-03,+1.501131E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-997.515E-03,+1.494598E+00,+1.392588E+00,+2.859196E+00,+3.216331E+00
-997.415E-03,+1.492588E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-997.315E-03,+1.490075E+00,+1.392588E+00,+2.834070E+00,+3.291708E+00
-997.215E-03,+1.490075E+00,+1.392588E+00,+2.914472E+00,+3.221357E+00
-997.115E-03,+1.489573E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
-997.015E-03,+1.503141E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.915E-03,+1.498618E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.815E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.715E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.615E-03,+1.502136E+00,+1.392588E+00,+2.914472E+00,+3.236432E+00
-996.515E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.415E-03,+1.490578E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.315E-03,+1.492085E+00,+1.382538E+00,+2.914472E+00,+3.216331E+00
-996.215E-03,+1.489573E+00,+1.392588E+00,+2.854171E+00,+3.241457E+00
-996.115E-03,+1.495101E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-996.015E-03,+1.497613E+00,+1.437814E+00,+2.874271E+00,+3.216331E+00
-995.915E-03,+1.489573E+00,+1.447864E+00,+2.884322E+00,+3.216331E+00
-995.815E-03,+1.492588E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-995.715E-03,+1.489573E+00,+1.392588E+00,+2.839095E+00,+3.216331E+00
-995.615E-03,+1.504648E+00,+1.397613E+00,+2.914472E+00,+3.216331E+00
-995.515E-03,+1.498618E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-995.415E-03,+1.497613E+00,+1.392588E+00,+2.854171E+00,+3.216331E+00
-995.315E-03,+1.494095E+00,+1.362437E+00,+2.864221E+00,+3.216331E+00
-995.215E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-995.115E-03,+1.502638E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-995.015E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.201256E+00
-994.915E-03,+1.482538E+00,+1.392588E+00,+2.839095E+00,+3.216331E+00
-994.815E-03,+1.497111E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-994.715E-03,+1.502638E+00,+1.462940E+00,+2.899397E+00,+3.216331E+00
-994.615E-03,+1.499623E+00,+1.392588E+00,+2.854171E+00,+3.161055E+00
-994.515E-03,+1.498618E+00,+1.392588E+00,+2.864221E+00,+3.216331E+00
-994.415E-03,+1.498116E+00,+1.437814E+00,+2.914472E+00,+3.181156E+00
-994.315E-03,+1.492085E+00,+1.392588E+00,+2.859196E+00,+3.216331E+00
-994.215E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-994.115E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-994.015E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-993.915E-03,+1.489573E+00,+1.392588E+00,+2.844121E+00,+3.216331E+00
-993.815E-03,+1.488568E+00,+1.417714E+00,+2.914472E+00,+3.216331E+00
-993.715E-03,+1.496106E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-993.615E-03,+1.498116E+00,+1.392588E+00,+2.869246E+00,+3.216331E+00
-993.515E-03,+1.508166E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-993.415E-03,+1.497613E+00,+1.392588E+00,+2.894372E+00,+3.216331E+00
-993.315E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-993.215E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.296734E+00
-993.115E-03,+1.493593E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-993.015E-03,+1.499623E+00,+1.337312E+00,+2.914472E+00,+3.216331E+00
-992.915E-03,+1.502136E+00,+1.427764E+00,+2.864221E+00,+3.216331E+00
-992.815E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-992.715E-03,+1.494598E+00,+1.447864E+00,+2.914472E+00,+3.246482E+00
-992.615E-03,+1.489573E+00,+1.392588E+00,+2.894372E+00,+3.216331E+00
-992.515E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-992.415E-03,+1.482035E+00,+1.472990E+00,+2.914472E+00,+3.140955E+00
-992.315E-03,+1.496106E+00,+1.407663E+00,+2.914472E+00,+3.216331E+00
-992.215E-03,+1.491583E+00,+1.392588E+00,+2.854171E+00,+3.216331E+00
-992.115E-03,+1.500628E+00,+1.427764E+00,+2.914472E+00,+3.216331E+00
-992.015E-03,+1.497613E+00,+1.392588E+00,+2.869246E+00,+3.216331E+00
-991.915E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.246482E+00
-991.815E-03,+1.495603E+00,+1.392588E+00,+2.914472E+00,+3.281658E+00
-991.715E-03,+1.482538E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-991.615E-03,+1.496608E+00,+1.397613E+00,+2.834070E+00,+3.216331E+00
-991.515E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-991.415E-03,+1.500628E+00,+1.392588E+00,+2.889347E+00,+3.216331E+00
-991.315E-03,+1.496106E+00,+1.392588E+00,+2.879296E+00,+3.216331E+00
-991.215E-03,+1.498116E+00,+1.352387E+00,+2.914472E+00,+3.181156E+00
-991.115E-03,+1.492085E+00,+1.392588E+00,+2.859196E+00,+3.191206E+00
-991.015E-03,+1.492588E+00,+1.392588E+00,+2.894372E+00,+3.201256E+00
-990.915E-03,+1.496608E+00,+1.467965E+00,+2.914472E+00,+3.216331E+00
-990.815E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.296734E+00
-990.715E-03,+1.502638E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-990.615E-03,+1.494095E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-990.515E-03,+1.489573E+00,+1.392588E+00,+2.864221E+00,+3.251507E+00
-990.415E-03,+1.489573E+00,+1.437814E+00,+2.914472E+00,+3.216331E+00
-990.315E-03,+1.500126E+00,+1.422739E+00,+2.914472E+00,+3.216331E+00
-990.215E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-990.115E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-990.015E-03,+1.497613E+00,+1.392588E+00,+2.909447E+00,+3.216331E+00
-989.915E-03,+1.490578E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
-989.815E-03,+1.494095E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-989.715E-03,+1.492588E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-989.615E-03,+1.501131E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-989.515E-03,+1.508166E+00,+1.342337E+00,+2.964724E+00,+3.216331E+00
-989.415E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-989.315E-03,+1.490075E+00,+1.387563E+00,+2.914472E+00,+3.216331E+00
-989.215E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-989.115E-03,+1.502638E+00,+1.392588E+00,+2.844121E+00,+3.216331E+00
-989.015E-03,+1.503141E+00,+1.392588E+00,+2.889347E+00,+3.216331E+00
-988.915E-03,+1.510176E+00,+1.392588E+00,+2.879296E+00,+3.216331E+00
-988.815E-03,+1.493593E+00,+1.437814E+00,+2.869246E+00,+3.216331E+00
-988.715E-03,+1.494598E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-988.615E-03,+1.503643E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-988.515E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-988.415E-03,+1.489573E+00,+1.397613E+00,+2.914472E+00,+3.216331E+00
-988.315E-03,+1.489573E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-988.215E-03,+1.499623E+00,+1.392588E+00,+2.854171E+00,+3.216331E+00
-988.115E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.266583E+00
-988.015E-03,+1.485553E+00,+1.392588E+00,+2.874271E+00,+3.216331E+00
-987.915E-03,+1.497613E+00,+1.392588E+00,+2.884322E+00,+3.216331E+00
-987.815E-03,+1.495603E+00,+1.392588E+00,+2.849146E+00,+3.216331E+00
-987.715E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-987.615E-03,+1.497613E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-987.515E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.206281E+00
-987.415E-03,+1.486055E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-987.315E-03,+1.496106E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-987.215E-03,+1.493090E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-987.115E-03,+1.502638E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-987.015E-03,+1.489573E+00,+1.392588E+00,+2.849146E+00,+3.216331E+00
-986.915E-03,+1.496608E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.815E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.715E-03,+1.490578E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.615E-03,+1.500628E+00,+1.392588E+00,+2.889347E+00,+3.216331E+00
-986.515E-03,+1.496106E+00,+1.427764E+00,+2.914472E+00,+3.216331E+00
-986.415E-03,+1.493593E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.315E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.191206E+00
-986.215E-03,+1.489573E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.115E-03,+1.490075E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-986.015E-03,+1.481533E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-985.915E-03,+1.490578E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
-985.815E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-985.715E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-985.615E-03,+1.496608E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-985.515E-03,+1.494598E+00,+1.342337E+00,+2.914472E+00,+3.216331E+00
-985.415E-03,+1.499121E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-985.315E-03,+1.497613E+00,+1.467965E+00,+2.839095E+00,+3.216331E+00
-985.215E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-985.115E-03,+1.490578E+00,+1.392588E+00,+2.914472E+00,+3.231407E+00
-985.015E-03,+1.489573E+00,+1.392588E+00,+2.889347E+00,+3.216331E+00
-984.915E-03,+1.510176E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-984.815E-03,+1.485050E+00,+1.352387E+00,+2.914472E+00,+3.216331E+00
-984.715E-03,+1.500126E+00,+1.422739E+00,+2.914472E+00,+3.271608E+00
-984.615E-03,+1.503643E+00,+1.392588E+00,+2.894372E+00,+3.216331E+00
-984.515E-03,+1.498618E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-984.415E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-984.315E-03,+1.492085E+00,+1.392588E+00,+2.914472E+00,+3.151005E+00
-984.215E-03,+1.495101E+00,+1.452889E+00,+2.889347E+00,+3.276633E+00
-984.115E-03,+1.500628E+00,+1.392588E+00,+2.879296E+00,+3.216331E+00
-984.015E-03,+1.489573E+00,+1.392588E+00,+2.874271E+00,+3.216331E+00
-983.915E-03,+1.500126E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-983.815E-03,+1.503643E+00,+1.392588E+00,+2.914472E+00,+3.281658E+00
-983.715E-03,+1.490578E+00,+1.387563E+00,+2.839095E+00,+3.216331E+00
-983.615E-03,+1.505151E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-983.515E-03,+1.502638E+00,+1.462940E+00,+2.914472E+00,+3.216331E+00
-983.415E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-983.315E-03,+1.484548E+00,+1.427764E+00,+2.834070E+00,+3.216331E+00
-983.215E-03,+1.493593E+00,+1.392588E+00,+2.874271E+00,+3.216331E+00
-983.115E-03,+1.492085E+00,+1.447864E+00,+2.859196E+00,+3.216331E+00
-983.015E-03,+1.507161E+00,+1.457915E+00,+2.914472E+00,+3.216331E+00
-982.915E-03,+1.489573E+00,+1.322236E+00,+2.834070E+00,+3.216331E+00
-982.815E-03,+1.504648E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-982.715E-03,+1.488065E+00,+1.392588E+00,+2.914472E+00,+3.286683E+00
-982.615E-03,+1.489573E+00,+1.392588E+00,+2.854171E+00,+3.196231E+00
-982.515E-03,+1.502136E+00,+1.392588E+00,+2.864221E+00,+3.216331E+00
-982.415E-03,+1.489573E+00,+1.392588E+00,+2.874271E+00,+3.216331E+00
-982.315E-03,+1.510678E+00,+1.392588E+00,+2.859196E+00,+3.216331E+00
-982.215E-03,+1.494095E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-982.115E-03,+1.490075E+00,+1.387563E+00,+2.904422E+00,+3.216331E+00
-982.015E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-981.915E-03,+1.502638E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-981.815E-03,+1.491583E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-981.715E-03,+1.496106E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-981.615E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-981.515E-03,+1.500126E+00,+1.392588E+00,+2.859196E+00,+3.216331E+00
-981.415E-03,+1.505653E+00,+1.392588E+00,+2.894372E+00,+3.216331E+00
-981.315E-03,+1.490578E+00,+1.467965E+00,+2.914472E+00,+3.216331E+00
-981.215E-03,+1.490075E+00,+1.472990E+00,+2.914472E+00,+3.216331E+00
-981.115E-03,+1.490578E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
-981.015E-03,+1.494095E+00,+1.452889E+00,+2.914472E+00,+3.216331E+00
-980.915E-03,+1.489573E+00,+1.442839E+00,+2.864221E+00,+3.216331E+00
-980.815E-03,+1.497613E+00,+1.392588E+00,+2.869246E+00,+3.216331E+00
-980.715E-03,+1.486558E+00,+1.422739E+00,+2.884322E+00,+3.246482E+00
-980.615E-03,+1.497613E+00,+1.392588E+00,+2.894372E+00,+3.216331E+00
-980.515E-03,+1.497613E+00,+1.392588E+00,+2.834070E+00,+3.216331E+00
-980.415E-03,+1.505653E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-980.315E-03,+1.504146E+00,+1.382538E+00,+2.914472E+00,+3.286683E+00
-980.215E-03,+1.497613E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-980.115E-03,+1.500628E+00,+1.392588E+00,+2.864221E+00,+3.216331E+00
-980.015E-03,+1.498116E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-979.915E-03,+1.500126E+00,+1.392588E+00,+2.859196E+00,+3.216331E+00
-979.815E-03,+1.483040E+00,+1.392588E+00,+2.914472E+00,+3.216331E+00
-979.715E-03,+1.496608E+00,+1.387563E+00,+2.914472E+00,+3.216331E+00
-979.615E-03,+1.489573E+00,+1.392588E+00,+2.909447E+00,+3.216331E+00
-979.515E-03,+1.489573E+00,+1.462940E+00,+2.914472E+00,+3.216331E+00
-979.415E-03,+1.489573E+00,+1.417714E+00,+2.914472E+00,+3.216331E+00
-979.315E-03,+1.497613E+00,+1.392588E+00,+2.879296E+00,+3.216331E+00
-979.215E-03,+1.490075E+00,+1.392588E+00,+2.874271E+00,+3.181156E+00
-979.115E-03,+1.500126E+00,+1.392588E+00,+2.914472E+00,+3.191206E+00
-979.015E-03,+1.491080E+00,+1.457915E+00,+2.914472E+00,+3.216331E+00
-978.915E-03,+1.483040E+00,+1.392588E+00,+2.839095E+00,+3.216331E+00
-978.815E-03,+1.505151E+00,+1.392588E+00,+2.914472E+00,+3.221357E+00
-978.715E-03,+1.489573E+00,+1.392588E+00,+2.899397E+00,+3.216331E+00
